NAME                       SYNC STATUS   HEALTH STATUS   REVISION                                   PROJECT
p2-argocd-crds             Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-cert-manager            Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-ingress-nginx           Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-kube-prometheus-stack   Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-kyverno                 Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-longhorn                Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-metallb                 Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-platform-namespaces     Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
p2-root-apps               Synced        Healthy         28db5e8a5bfb5edb499a82637f23b5ba6e15f86b   default
