NAMESPACE    NAME                                             AGE
monitoring   kube-prometheus-stack-alertmanager               52m
monitoring   kube-prometheus-stack-apiserver                  52m
monitoring   kube-prometheus-stack-coredns                    52m
monitoring   kube-prometheus-stack-grafana                    52m
monitoring   kube-prometheus-stack-kube-state-metrics         52m
monitoring   kube-prometheus-stack-kubelet                    52m
monitoring   kube-prometheus-stack-operator                   52m
monitoring   kube-prometheus-stack-prometheus                 52m
monitoring   kube-prometheus-stack-prometheus-node-exporter   52m
