NAMESPACE         NAME                                                       READY   STATUS    RESTARTS        AGE     IP             NODE        NOMINATED NODE   READINESS GATES
longhorn-system   instance-manager-2b0d4a3a0fa7c91553cf667665e98638          1/1     Running   0               6h      10.42.1.18     p2-node-2   <none>           <none>
longhorn-system   instance-manager-acad6aa6acb7b44f065d15b3a7fd1444          1/1     Running   0               6h      10.42.2.35     p2-node-3   <none>           <none>
longhorn-system   longhorn-csi-plugin-2hk4f                                  3/3     Running   19 (6h2m ago)   6d5h    10.42.0.159    p2-node-1   <none>           <none>
longhorn-system   longhorn-csi-plugin-8p4v8                                  3/3     Running   17 (6h2m ago)   6d5h    10.42.2.97     p2-node-3   <none>           <none>
longhorn-system   longhorn-csi-plugin-dmww6                                  3/3     Running   21 (6h ago)     6d5h    10.42.1.205    p2-node-2   <none>           <none>
longhorn-system   longhorn-driver-deployer-6b97f48b5b-jbqkc                  1/1     Running   9 (6h2m ago)    6d5h    10.42.2.239    p2-node-3   <none>           <none>
longhorn-system   longhorn-manager-hrrcb                                     2/2     Running   13 (6h2m ago)   6d5h    10.42.1.149    p2-node-2   <none>           <none>
longhorn-system   longhorn-manager-ljccr                                     2/2     Running   15 (6h ago)     6d5h    10.42.2.193    p2-node-3   <none>           <none>
longhorn-system   longhorn-manager-mlrgm                                     2/2     Running   13 (6h2m ago)   6d5h    10.42.0.248    p2-node-1   <none>           <none>
longhorn-system   longhorn-ui-887d56cd8-8r47b                                1/1     Running   11 (6h1m ago)   6d5h    10.42.2.30     p2-node-3   <none>           <none>
longhorn-system   longhorn-ui-887d56cd8-tsg4p                                1/1     Running   11 (6h1m ago)   6d5h    10.42.0.106    p2-node-1   <none>           <none>
metallb-system    metallb-controller-75f6b7f996-mr7pm                        1/1     Running   9 (6h2m ago)    14d     10.42.2.159    p2-node-3   <none>           <none>
metallb-system    metallb-speaker-kb4k7                                      1/1     Running   9 (6h2m ago)    14d     192.168.0.13   p2-node-3   <none>           <none>
metallb-system    metallb-speaker-kfdm7                                      1/1     Running   8 (6h2m ago)    14d     192.168.0.11   p2-node-1   <none>           <none>
metallb-system    metallb-speaker-wbdwn                                      1/1     Running   9 (6h2m ago)    14d     192.168.0.12   p2-node-2   <none>           <none>
monitoring        alertmanager-kube-prometheus-stack-alertmanager-0          2/2     Running   12 (6h2m ago)   6d16h   10.42.2.165    p2-node-3   <none>           <none>
monitoring        kube-prometheus-stack-grafana-7948f67bc7-bwzk5             3/3     Running   0               35m     10.42.1.131    p2-node-2   <none>           <none>
monitoring        kube-prometheus-stack-kube-state-metrics-dcd9c7c48-jhdb7   1/1     Running   6 (6h2m ago)    6d16h   10.42.2.242    p2-node-3   <none>           <none>
monitoring        kube-prometheus-stack-operator-5dd9ff9c76-crvww            1/1     Running   6 (6h2m ago)    6d16h   10.42.1.147    p2-node-2   <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-6mj5n       1/1     Running   6 (6h2m ago)    6d16h   192.168.0.11   p2-node-1   <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-8pfsx       1/1     Running   6 (6h2m ago)    6d16h   192.168.0.12   p2-node-2   <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-zqspd       1/1     Running   6 (6h2m ago)    6d16h   192.168.0.13   p2-node-3   <none>           <none>
monitoring        prometheus-kube-prometheus-stack-prometheus-0              2/2     Running   12 (6h2m ago)   6d16h   10.42.0.178    p2-node-1   <none>           <none>
